ParticipantIdentifier,datetime,trial_date,time,visits_gym_elapsedTime,visits_gym_startTime,visits_gym_distance,visits_home_elapsedTime,visits_home_startTime,visits_home_distance,visits_school_startTime,visits_school_elapsedTime,visits_school_distance,visits_unknown_startTime,visits_unknown_elapsedTime,visits_unknown_distance,visits_work_startTime,visits_work_elapsedTime,visits_work_distance
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-13 11:08:42-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 09:15:00-04:00,900.0,2975.913450993732,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-12 12:34:11-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 07:30:00-04:00,6300.0,3612.392151518084,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-13 11:08:42-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 09:15:00-04:00,900.0,2975.913450993732,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-13 11:08:41-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 09:15:00-04:00,900.0,2975.913450993732,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-12 12:34:11-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,79200.0,2022-10-10 09:00:00-04:00,0,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-12 12:34:11-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,77400.0,2022-10-11 09:45:00-04:00,0,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-12 12:34:11-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-10 07:15:00-04:00,5400.0,3612.392151518084,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-12 12:34:11-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 07:15:00-04:00,8100.0,3612.392151518084,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-12 12:34:11-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 07:30:00-04:00,6300.0,3612.392151518084,NaN,NaN,NaN
5e509967-0d3b-4fe1-a275-231ba42473d5,2022-10-13 11:08:41-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 09:15:00-04:00,900.0,2975.913450993732,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 15:15:00-04:00,9900.0,565090.6394456042,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-10 19:00:00-04:00,2700.0,563700.7159023801,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 11:00:00-04:00,2700.0,553934.5974061184,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 12:15:00-04:00,4500.0,553839.3287808739,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 13:45:00-04:00,1800.0,554191.0950412931,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 19:30:00-04:00,0.0,563232.9404921754,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 10:15:00-04:00,0.0,564942.0944509252,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 14:45:00-04:00,1800.0,564942.0944509252,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-10 18:30:00-04:00,900.0,563058.9495998027,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 18:15:00-04:00,4500.0,563058.9495998027,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-13 12:27:53-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 08:45:00-04:00,8100.0,574853.6942809069,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-13 12:27:53-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-12 12:30:00-04:00,1800.0,27313.81115287737,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-13 12:27:53-04:00,2022-10-13,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 19:45:00-04:00,45000.0,565090.6218531032,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-09 19:30:00-04:00,81900.0,565090.6394456042,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-10 19:45:00-04:00,900.0,565090.6394456042,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-10 20:15:00-04:00,49500.0,565090.6394456042,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 15:15:00-04:00,9900.0,565090.6394456042,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-10 19:00:00-04:00,2700.0,563700.7159023801,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 11:00:00-04:00,2700.0,553934.5974061184,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 12:15:00-04:00,4500.0,553839.3287808739,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 13:45:00-04:00,1800.0,554191.0950412931,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 19:30:00-04:00,0.0,563232.9404921754,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 10:15:00-04:00,0.0,564942.0944509252,NaN,NaN,NaN
6b827de8-fe47-4007-aad3-202655b954e3,2022-10-12 21:38:28-04:00,2022-10-12,00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2022-10-11 14:45:00-04:00,1800.0,564942.0944509252,NaN,NaN,NaN
